,2022-03-01,2023-03-01
Equity Capital,3767,5063
Reserves,649,509
Borrowings,3208,6082
Other Liabilities,777,817
Total Liabilities,8400,12471
Fixed Assets,3667,2970
CWIP,0,0
Investments,457,2490
Other Assets,4276,7011
Total Assets,8400,12471
