,Mar 2022,Mar 2023,TTM
Sales,571.0,1384.0,1594
Expenses,131.0,645.0,628
Operating Profit,440.0,740.0,966
OPM %,77.0,53.0,61
Other Income,17.0,47.0,-44
Interest,132.0,277.0,348
Depreciation,30.0,58.0,58
Profit before tax,294.0,452.0,516
Tax %,-1.0,-7.0,
Net Profit,299.0,487.0,566
EPS in Rs,7.48,10.15,12.05
