,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,165,197,234,273,326,371,399,455,523,551,592,611
Borrowings,134,120,107,86,111,122,132,154,185,189,167,129
Other Liabilities,77,78,88,82,79,85,91,78,96,115,117,114
Total Liabilities,386,405,439,451,527,589,631,697,814,865,886,864
Fixed Assets,218,222,215,207,327,328,361,354,342,453,478,471
CWIP,3,2,4,40,3,40,3,25,113,41,1,3
Investments,5,11,27,16,38,61,93,133,185,181,225,214
Other Assets,160,169,193,189,159,160,174,185,173,190,181,175
Total Assets,386,405,439,451,527,589,631,697,814,865,886,864
