,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,90.5,119.45,118.47,92.2,113.08,109.51,126.4,152.91,140.91,119.75,122.29,124.8,111.43
Expenses,58.01,76.05,80.37,73.39,88.14,87.82,106.76,123.15,115.97,92.82,94.26,90.89,87.89
Operating Profit,32.49,43.4,38.1,18.81,24.94,21.69,19.64,29.76,24.94,26.93,28.03,33.91,23.54
OPM %,35.9,36.33,32.16,20.4,22.06,19.81,15.54,19.46,17.7,22.49,22.92,27.17,21.13
Other Income,3.02,0.85,2.65,5.33,1.66,0.47,1.74,1.64,1.03,0.17,0.29,1.83,0.57
Interest,1.78,1.37,1.45,1.19,1.23,1.36,2.99,3.12,3.56,3.23,3.09,3.13,3.02
Depreciation,5.31,5.41,6.07,5.62,5.81,5.94,6.82,7.14,7.34,7.73,7.2,7.46,7.59
Profit before tax,28.42,37.47,33.23,17.33,19.56,14.86,11.57,21.14,15.07,16.14,18.03,25.15,13.5
Tax %,22.38,21.06,7.43,23.89,28.17,18.91,40.36,24.46,26.41,20.69,23.96,31.25,27.7
Net Profit,22.06,29.57,30.75,13.2,14.05,12.05,6.89,15.98,11.09,12.8,13.72,17.3,9.76
EPS in Rs,21.26,29.04,27.78,12.82,13.35,11.32,5.62,14.98,9.44,11.62,12.64,16.31,8.97
