,2014-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,37.0,50.0,49,68,58,42
Inventory Days,250.0,363.0,398,359,417,352
Days Payable,0.0,68.0,58,93,81,53
Cash Conversion Cycle,288.0,345.0,389,333,393,340
Working Capital Days,99.0,158.0,170,169,160,140
ROCE %,,,11,17,30,32
