,Mar 2014,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,805.0,1061.0,907.0,903.0,1227.0,1366.0,1250
Expenses,715.0,923.0,811.0,783.0,959.0,1068.0,995
Operating Profit,90.0,138.0,96.0,120.0,268.0,298.0,255
OPM %,11.0,13.0,11.0,13.0,22.0,22.0,20
Other Income,2.0,2.0,32.0,44.0,3.0,15.0,15
Interest,15.0,18.0,18.0,8.0,6.0,6.0,5
Depreciation,17.0,30.0,35.0,37.0,37.0,39.0,40
Profit before tax,60.0,92.0,74.0,119.0,229.0,268.0,225
Tax %,28.0,24.0,16.0,23.0,26.0,24.0,
Net Profit,44.0,70.0,63.0,91.0,169.0,205.0,172
EPS in Rs,19.3,15.42,13.88,20.21,37.4,45.4,38.05
