,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17,33.17
FIIs,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
DIIs,1.99,1.99,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Public,64.42,64.42,65.83,66.41,66.41,66.41,66.41,66.41,66.4,66.41,66.41,66.4
No. of Shareholders,13763.0,13930.0,15884.0,20229.0,25740.0,25346.0,24344.0,23471.0,22542.0,21740.0,21057.0,20699.0
