,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,345.4,438.2,481.39,567.61,546.87,694.12,812.37,1164.75,1371.52,1672.92,1775.39,2512.06
Inventory Days,469.82,504.25,811.76,1423.5,1186.25,1535.67,2113.73,3098.62,6493.96,5316.83,6843.75,25341.43
Days Payable,59.9,59.08,55.48,73.0,52.64,40.06,76.27,147.55,212.92,133.83,76.04,208.57
Cash Conversion Cycle,755.32,883.38,1237.67,1918.11,1680.47,2189.73,2849.83,4115.81,7652.56,6855.92,8543.1,27644.92
Working Capital Days,500.36,590.71,711.92,923.67,896.71,1135.56,1327.57,1952.87,2422.27,3018.01,3260.19,4965.07
ROCE %,0.61,1.03,1.24,-1.29,0.95,0.27,1.12,-0.63,0.26,0.05,0.1,-0.51
