,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.6,27.99,30.01,31.74,36.01,36.15,33.78,38.03,37.73,15.55,29.86,41.39,41.26
Expenses,19.18,19.85,20.15,20.74,23.55,22.87,22.9,26.25,26.99,16.75,23.74,30.7,30.30
Operating Profit,7.42,8.14,9.86,11.0,12.46,13.28,10.88,11.78,10.74,-1.2,6.12,10.69,10.96
OPM %,27.89,29.08,32.86,34.66,34.6,36.74,32.21,30.98,28.47,-7.72,20.5,25.83,26.56
Other Income,-0.09,0.03,0.21,0.15,0.09,0.22,1.03,0.15,0.19,0.12,0.54,0.96,0.66
Interest,1.39,2.37,4.08,4.86,5.37,6.11,4.84,4.75,4.72,4.78,4.9,5.16,5.25
Depreciation,1.59,2.16,2.98,3.91,4.36,6.16,6.76,5.54,5.16,4.88,4.85,4.86,4.83
Profit before tax,4.35,3.64,3.01,2.38,2.82,1.23,0.31,1.64,1.05,-10.74,-3.09,1.63,1.54
Tax %,30.57,32.97,42.52,33.61,41.84,82.93,-193.55,9.15,36.19,-1.96,22.01,-26.99,
Net Profit,3.02,2.44,1.73,1.58,1.64,0.21,0.92,1.5,0.68,-10.96,-2.4,2.07,2.11
EPS in Rs,5.03,4.07,2.88,2.63,2.73,0.35,1.53,2.5,1.13,-16.48,-3.43,2.96,3.01
