,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,55,55,55,55,55,55,51,51,51,51,51,51
Reserves,2000,2096,2178,2257,2463,8247,7874,8007,14188,19625,19521,23683
Borrowings,0,0,0,0,0,0,0,0,0,0,240,129
Other Liabilities,117,123,125,14,19,1564,1554,122,647,1314,1277,1855
Total Liabilities,2172,2274,2358,2326,2537,9866,9478,8179,14886,20990,21089,25718
Fixed Assets,13,14,14,14,14,14,14,15,14,16,15,15
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,2006,2212,2302,2259,2480,9816,9432,8128,14836,20893,21009,25593
Other Assets,153,48,43,53,44,37,33,37,36,82,65,110
Total Assets,2172,2274,2358,2326,2537,9866,9478,8179,14886,20990,21089,25718
