,2023-09-01
Depreciation,0.01
EPS in Rs,0.77
Expenses,14.15
Interest,0.01
Net Profit,0.2
OPM %,0.91
Operating Profit,0.13
Other Income,0.19
Profit before tax,0.3
Sales,14.28
Tax %,30.0
