,2012-06-01,2013-09-01,2014-09-01,2015-09-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,1214.0,1718.0,2395.0,2345.0,869.0,1106.0,374.0,380.0,188.0,174.0,231.0,262.0
Expenses,919.0,1302.0,1796.0,1848.0,682.0,581.0,374.0,369.0,237.0,248.0,232.0,257.0
Operating Profit,295.0,416.0,599.0,496.0,187.0,526.0,0.0,11.0,-49.0,-74.0,-1.0,5.0
OPM %,24.0,24.0,25.0,21.0,22.0,48.0,0.0,3.0,-26.0,-42.0,-1.0,2.0
Other Income,4.0,43.0,20.0,-19.0,-207.0,-440.0,-412.0,1.0,1.0,-342.0,1.0,-73.0
Interest,67.0,105.0,199.0,368.0,198.0,408.0,342.0,27.0,2.0,0.0,1.0,2.0
Depreciation,61.0,98.0,137.0,190.0,142.0,573.0,260.0,255.0,254.0,252.0,250.0,244.0
Profit before tax,171.0,257.0,282.0,-81.0,-360.0,-896.0,-1013.0,-271.0,-303.0,-668.0,-252.0,-314.0
Tax %,29.0,33.0,32.0,33.0,24.0,28.0,8.0,-8.0,0.0,0.0,0.0,0.0
Net Profit,121.0,173.0,193.0,-54.0,-273.0,-645.0,-930.0,-292.0,-303.0,-668.0,-252.0,-314.0
EPS in Rs,32.89,47.15,52.54,-14.66,-74.26,-158.29,-213.59,-67.13,-69.67,-153.39,-57.97,-72.07
