,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,2,4,6
Reserves,0,0,1,2,9,20
Borrowings,0,1,1,1,2,21
Other Liabilities,0,4,4,12,32,26
Total Liabilities,2,6,7,17,47,73
Fixed Assets,1,0,0,9,8,6
CWIP,0,0,0,0,0,0
Investments,0,0,0,0,0,1
Other Assets,1,6,7,7,39,66
Total Assets,2,6,7,17,47,73
