,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-52,-56,169,101,18,-109,76,386
Cash from Investing Activity,64,45,-198,-312,-71,-3,-375,-46
Cash from Financing Activity,-14,8,40,203,60,144,274,-326
Net Cash Flow,-2,-3,11,-8,7,32,-26,14
