,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,197.0,193.0,69.0,82.0,241.0,206.0,306.0,717.0,788
Expenses,137.0,136.0,26.0,30.0,177.0,142.0,232.0,471.0,511
Operating Profit,60.0,57.0,43.0,52.0,64.0,64.0,74.0,246.0,277
OPM %,31.0,29.0,62.0,63.0,27.0,31.0,24.0,34.0,35
Other Income,45.0,50.0,1.0,1.0,8.0,18.0,38.0,36.0,41
Interest,0.0,0.0,5.0,21.0,41.0,44.0,75.0,123.0,109
Depreciation,0.0,0.0,1.0,2.0,6.0,5.0,3.0,3.0,3
Profit before tax,105.0,106.0,39.0,30.0,26.0,32.0,35.0,156.0,205
Tax %,21.0,21.0,27.0,20.0,21.0,28.0,33.0,28.0,
Net Profit,83.0,84.0,39.0,32.0,25.0,16.0,39.0,124.0,174
EPS in Rs,14.65,14.79,8.42,6.84,5.23,3.3,8.37,26.12,36.90
