,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,28,28,23,23,23,23,23,23,23
Reserves,567,648,527,584,570,586,626,746,840
Borrowings,0,11,208,429,567,739,1087,869,858
Other Liabilities,8,8,128,461,456,351,402,515,462
Total Liabilities,604,696,885,1497,1617,1699,2139,2153,2183
Fixed Assets,0,0,105,221,294,287,286,283,282
CWIP,0,0,0,0,0,0,0,0,0
Investments,0,0,14,22,26,13,271,49,62
Other Assets,603,695,767,1255,1297,1399,1582,1821,1839
Total Assets,604,696,885,1497,1617,1699,2139,2153,2183
