,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.09,0.09,0.09,2.95,2.95,2.95,8.23,10.03,10.03,11.43,11.43
Reserves,0.0,0.01,0.05,0.53,3.62,4.5,5.52,1.84,4.73,4.84,14.66,14.43
Borrowings,0.01,0.54,0.81,2.41,0.15,5.8100000000000005,7.87,7.81,7.72,14.58,12.56,14.94
Other Liabilities,0.31,0.89,1.1,2.27,2.69,3.19,4.11,7.19,3.72,3.44,4.83,6.3
Total Liabilities,0.33,1.53,2.05,5.3,9.41,16.45,20.45,25.07,26.2,32.89,43.48,47.1
Fixed Assets,0.0,0.03,0.03,0.2,0.35,1.2,1.21,1.08,2.8,4.41,4.9,4.13
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.5,0.53,0.53,0.53,0.55,0.55,0.56,0.56
Other Assets,0.33,1.5,2.02,5.1,8.56,14.72,18.71,23.46,22.84,27.93,38.02,42.41
Total Assets,0.33,1.53,2.05,5.3,9.41,16.45,20.45,25.07,26.2,32.89,43.48,47.1
