,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.59,1.89,4.8,14.19,18.85,20.8,36.08,43.53,45.62,55.16,44.72,33.50
Expenses,0.59,1.85,4.69,13.33,17.7,18.72,33.3,40.91,41.58,53.09,41.62,34.51
Operating Profit,0.00,0.04,0.11,0.86,1.15,2.08,2.78,2.62,4.04,2.07,3.1,-1.01
OPM %,0.00,2.12,2.29,6.06,6.1,10.0,7.71,6.02,8.86,3.75,6.93,-3.01
Other Income,0.00,0.0,0.02,0.0,0.04,-0.01,0.05,0.16,0.36,0.31,0.5,0.61
Interest,0.00,0.02,0.07,0.19,0.28,0.55,0.96,1.36,1.47,1.22,2.21,2.12
Depreciation,0.00,0.0,0.01,0.02,0.1,0.29,0.43,0.34,0.89,0.94,1.25,1.20
Profit before tax,0.00,0.02,0.05,0.65,0.81,1.23,1.44,1.08,2.04,0.22,0.14,-3.72
Tax %,,50.0,40.0,30.77,34.57,29.27,28.47,31.48,26.47,50.0,28.57,
Net Profit,0.00,0.01,0.03,0.45,0.53,0.87,1.02,0.74,1.5,0.1,0.11,-2.66
EPS in Rs,,0.5,1.5,22.5,0.72,1.18,1.38,0.9,1.49,0.1,0.1,-2.33
