,2023-03-01,2023-09-01
Equity Capital,1.0,3.71
Reserves,,5.5
Borrowings,,0.0
Other Liabilities,,25.54
Total Liabilities,,32.04
Fixed Assets,,0.06
CWIP,,0.03
Investments,,0.0
Other Assets,,31.95
Total Assets,,32.04
