,2006-03-01,2007-03-01,2008-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6,6,6,11,11,11,11,11,11,11,12,14.0
Reserves,23,27,28,142,173,210,251,297,289,266,336,390.0
Preference Capital,0,0,0,0,0,0,0,0,0,32,34,
Borrowings,54,83,87,0,0,0,0,1,16,156,137,136.0
Other Liabilities,32,32,27,67,61,80,95,72,72,113,124,110.0
Total Liabilities,114,148,147,221,245,301,357,380,388,545,609,650.0
Fixed Assets,29,36,34,85,87,87,94,93,90,199,258,252.0
CWIP,2,1,10,3,3,5,37,117,150,60,1,1.0
Investments,0,0,0,0,23,60,26,18,31,0,17,18.0
Other Assets,82,111,103,133,131,149,200,152,117,285,332,379.0
Total Assets,114,148,147,221,245,301,357,380,388,545,609,650.0
