,2006-03-01,2007-03-01,2008-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,26.0,25,18,52.0,36,51,55,46,29,23,19
Inventory Days,34.0,76,113,33.0,38,42,42,39,78,80,66
Days Payable,45.0,39,42,34.0,38,45,43,32,71,63,47
Cash Conversion Cycle,15.0,62,89,51.0,37,48,54,53,36,39,38
Working Capital Days,173.0,270,396,37.0,24,35,40,38,12,95,81
ROCE %,,16,9,,32,34,34,24,-4,-6,4
