,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,71,71,71,41,42,42,42,42,42.0
Reserves,224,291,447,241,331,432,684,1028,1087.0
Preference Capital,0,0,0,211,211,211,211,110,
Borrowings,190,123,74,390,526,542,782,769,971.0
Other Liabilities,55,42,79,373,375,433,616,594,549.0
Total Liabilities,540,527,671,1044,1273,1449,2124,2432,2649.0
Fixed Assets,364,398,347,295,440,1102,1068,1804,1803.0
CWIP,69,3,79,468,691,126,589,158,353.0
Investments,0,29,71,0,0,0,0,21,21.0
Other Assets,106,98,173,281,142,221,467,449,472.0
Total Assets,540,527,671,1044,1273,1449,2124,2432,2649.0
