,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,394.0,392.0,598.0,710.0,611.0,829.0,1551.0,2188.0,2033
Expenses,245.0,248.0,346.0,405.0,416.0,567.0,1041.0,1499.0,1509
Operating Profit,149.0,144.0,252.0,306.0,194.0,261.0,510.0,689.0,524
OPM %,38.0,37.0,42.0,43.0,32.0,32.0,33.0,31.0,26
Other Income,2.0,1.0,8.0,16.0,2.0,2.0,4.0,8.0,7
Interest,19.0,14.0,9.0,25.0,11.0,29.0,44.0,66.0,80
Depreciation,44.0,55.0,55.0,54.0,44.0,74.0,86.0,109.0,123
Profit before tax,88.0,75.0,195.0,242.0,141.0,161.0,383.0,523.0,328
Tax %,23.0,11.0,20.0,25.0,21.0,37.0,34.0,32.0,
Net Profit,67.0,67.0,155.0,183.0,112.0,101.0,253.0,353.0,224
EPS in Rs,9.49,9.4,21.97,44.38,27.19,24.48,60.84,85.04,53.86
