,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.92,1.75,0.56,0.0
Expenses,2.7,1.41,0.39,0.36
Operating Profit,0.22,0.34,0.17,-0.36
OPM %,7.53,19.43,30.36,
Other Income,0.0,0.0,0.0,0.77
Interest,0.09,0.16,0.1,0.28
Depreciation,0.02,0.02,0.02,0.04
Profit before tax,0.11,0.16,0.05,0.09
Tax %,27.27,43.75,20.0,
Net Profit,0.08,0.09,0.05,0.08
EPS in Rs,0.13,0.14,0.08,0.13
