,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.24,6.24,6.24,5.24
Reserves,0.18,0.26,0.46,0.43
Borrowings,2.14,16.03,16.49,18.47
Other Liabilities,2.11,0.52,0.13,0.06
Total Liabilities,10.67,23.05,23.32,25.2
Fixed Assets,0.15,8.67,8.65,8.64
CWIP,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.19,0.0
Other Assets,10.52,14.38,14.48,16.56
Total Assets,10.67,23.05,23.32,25.2
