,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-0.43,-8.66,0.61
Cash from Investing Activity,0.25,-4.29,0.88
Cash from Financing Activity,-1.56,13.73,0.35
Net Cash Flow,-1.74,0.79,1.83
