,2021-03-01,2022-03-01,2023-03-01
Debtor Days,101.25,20.86,65.18
Inventory Days,242.24,235.22,
Days Payable,21.28,4.06,
Cash Conversion Cycle,322.21,252.02,65.18
Working Capital Days,335.0,1716.54,4321.34
ROCE %,,2.06,0.66
