,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13.78,22.75,36.47,48.44,54.14
Expenses,12.14,18.99,31.7,42.29,47.37
Operating Profit,1.64,3.76,4.77,6.15,6.77
OPM %,11.9,16.53,13.08,12.7,12.50
Other Income,0.01,0.05,0.81,0.23,0.27
Interest,0.59,0.61,1.1,1.4,1.49
Depreciation,0.5,0.49,0.26,0.27,0.30
Profit before tax,0.56,2.71,4.22,4.71,5.25
Tax %,-1.79,25.09,28.44,24.42,
Net Profit,0.57,2.04,3.02,3.55,3.97
EPS in Rs,2.77,9.9,14.66,4.2,4.69
