,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01
Sales,12.49,14.37,18.39,23.14,24.63,29.69,11.91,7.04,7.73,10.21,12.65,11.34
Expenses,9.8,11.15,14.38,17.18,18.86,23.53,23.07,14.93,15.11,13.7,25.27,10.02
Operating Profit,2.69,3.22,4.01,5.96,5.77,6.16,-11.16,-7.89,-7.38,-3.49,-12.62,1.32
OPM %,21.54,22.41,21.81,25.76,23.43,20.75,-93.7,-112.07,-95.47,-34.18,-99.76,11.64
Other Income,0.0,-0.01,0.0,0.0,0.0,0.0,0.06,-8.69,0.14,0.21,-2.97,0.52
Interest,1.72,2.03,2.34,2.64,3.6,3.44,3.6,3.89,4.14,0.78,0.0,5.82
Depreciation,0.36,0.38,0.36,0.45,0.7,0.44,0.32,0.3,0.15,0.1,0.09,0.07
Profit before tax,0.61,0.8,1.31,2.87,1.47,2.28,-15.02,-20.77,-11.53,-4.16,-15.68,-4.05
Tax %,32.79,32.5,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,0.41,0.54,1.3,2.87,1.46,2.27,-15.02,-20.77,-11.53,-4.16,-15.68,-4.05
EPS in Rs,0.85,0.84,1.87,3.03,1.54,2.4,-15.86,-21.94,-12.18,-4.39,-16.56,-4.28
