,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01
Equity Capital,4.83,6.43,6.97,9.47,9.47,9.47,9.47,9.47,9.47,9.47,9.47,9.47
Reserves,2.79,4.93,7.51,12.88,14.23,16.5,1.49,-19.28,-30.81,-34.97,-50.65,-59.81
Borrowings,3.19,21.02,19.8,24.77,26.81,24.86,29.63,37.25,41.5,42.1,40.54,51.14
Other Liabilities,16.81,6.17,6.28,10.9,10.36,9.06,6.94,7.64,7.62,8.82,6.5,1.11
Total Liabilities,27.62,38.55,40.56,58.02,60.87,59.89,47.53,35.08,27.78,25.42,5.86,1.91
Fixed Assets,2.78,2.92,2.91,2.99,2.41,2.12,1.95,1.84,1.75,1.72,1.75,1.53
CWIP,0.08,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,24.76,35.5,37.65,55.03,58.46,57.77,45.58,33.24,26.03,23.7,4.11,0.38
Total Assets,27.62,38.55,40.56,58.02,60.87,59.89,47.53,35.08,27.78,25.42,5.86,1.91
