,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,2.71,7.27,3.0,3.66,4.35,11.99,3.39,5.5
Expenses,1.97,5.77,2.56,2.41,3.5,10.99,2.5,4.14
Operating Profit,0.74,1.5,0.44,1.25,0.85,1.0,0.89,1.36
OPM %,27.31,20.63,14.67,34.15,19.54,8.34,26.25,24.73
Other Income,0.05,0.05,0.04,0.09,0.2,0.17,0.12,0.23
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.02,0.03,0.03,0.04,0.04,0.11,0.19,0.21
Profit before tax,0.77,1.52,0.45,1.3,1.01,1.06,0.82,1.38
Tax %,31.17,25.66,26.67,25.38,24.75,25.47,25.61,24.64
Net Profit,0.53,1.14,0.34,0.98,0.76,0.8,0.62,1.03
EPS in Rs,0.41,0.89,0.27,0.76,0.59,0.62,0.48,0.8
