,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,11.31,11.82,13.23,13.09,12.28,12.1,10.23,10.34,14.16,11.02,11.49,19.28,25.23
Expenses,11.06,11.48,12.87,12.8,11.99,11.83,8.94,7.4,9.11,9.42,8.36,15.73,21.13
Operating Profit,0.25,0.34,0.36,0.29,0.29,0.27,1.29,2.94,5.05,1.6,3.13,3.55,4.10
OPM %,2.21,2.88,2.72,2.22,2.36,2.23,12.61,28.43,35.66,14.52,27.24,18.41,16.25
Other Income,0.0,0.0,0.0,0.09,0.05,0.07,0.17,0.14,0.09,0.11,0.18,0.51,0.72
Interest,0.0,0.03,0.06,0.08,0.09,0.1,0.04,0.08,0.06,0.03,0.02,0.01,0.00
Depreciation,0.06,0.11,0.08,0.1,0.04,0.05,0.05,0.14,0.14,0.13,0.1,0.21,0.55
Profit before tax,0.19,0.2,0.22,0.2,0.21,0.19,1.37,2.86,4.94,1.55,3.19,3.84,4.27
Tax %,31.58,30.0,31.82,30.0,33.33,31.58,27.74,27.97,25.3,26.45,26.65,25.26,
Net Profit,0.14,0.14,0.15,0.14,0.14,0.13,1.0,2.06,3.69,1.14,2.34,2.87,3.21
EPS in Rs,1.75,1.75,1.88,1.75,1.75,1.62,12.5,25.75,46.12,0.89,1.83,2.24,2.49
