,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.73,6.75,10.06,34.7,56.72,57.74
Expenses,6.56,6.58,9.5,32.88,53.54,54.95
Operating Profit,0.17,0.17,0.56,1.82,3.18,2.79
OPM %,2.53,2.52,5.57,5.24,5.61,4.83
Other Income,0.0,0.0,0.0,0.05,0.09,0.04
Interest,0.11,0.1,0.14,0.11,0.38,0.59
Depreciation,0.0,0.0,0.02,0.01,0.0,0.06
Profit before tax,0.06,0.07,0.4,1.75,2.89,2.18
Tax %,33.33,28.57,27.5,26.29,28.37,
Net Profit,0.05,0.05,0.3,1.3,2.07,1.33
EPS in Rs,0.5,0.5,3.0,0.84,1.35,0.86
