,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.5,0.5,0.5,7.69,15.39,15.39
Reserves,0.15,0.2,0.5,8.99,11.06,11.39
Borrowings,0.91,0.9,3.75,1.99,2.84,6.94
Other Liabilities,0.24,0.2,1.85,8.11,11.17,12.64
Total Liabilities,1.8,1.8,6.6,26.78,40.46,46.36
Fixed Assets,0.0,0.0,0.01,0.01,5.5600000000000005,6.5600000000000005
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,5.21,7.6,5.0
Other Assets,1.8,1.8,6.59,21.56,27.3,34.8
Total Assets,1.8,1.8,6.6,26.78,40.46,46.36
