,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,41.07,40.45,43.8,58.7,76.05,43.12,29.7,13.66,31.65,19.3
Expenses,39.56,38.77,42.92,56.19,75.73,41.05,29.38,11.49,30.21,15.16
Operating Profit,1.51,1.68,0.88,2.51,0.32,2.07,0.32,2.17,1.44,4.14
OPM %,3.68,4.15,2.01,4.28,0.42,4.8,1.08,15.89,4.55,21.45
Other Income,0.21,0.2,0.18,0.18,0.17,0.22,0.28,0.49,0.91,1.05
Interest,1.33,1.42,1.36,1.49,1.28,1.14,1.24,1.36,1.78,1.85
Depreciation,0.05,0.05,0.02,0.03,0.02,0.02,0.02,0.04,0.04,0.04
Profit before tax,0.34,0.41,-0.32,1.17,-0.81,1.13,-0.66,1.26,0.53,3.3
Tax %,17.65,26.83,34.38,23.08,22.22,7.08,-7.58,20.63,9.43,16.97
Net Profit,0.28,0.3,-0.21,0.89,-0.64,1.04,-0.71,1.0,0.48,2.74
EPS in Rs,0.23,0.25,-0.18,0.74,-0.53,0.87,-0.59,0.83,0.4,2.29
