,Mar 2022,Mar 2023,TTM
Sales,25.51,35.18,38.75
Expenses,23.84,32.7,34.59
Operating Profit,1.67,2.48,4.16
OPM %,6.55,7.05,10.74
Other Income,0.33,0.26,0.22
Interest,0.99,1.13,1.09
Depreciation,0.17,0.21,0.23
Profit before tax,0.84,1.4,3.06
Tax %,39.29,27.14,
Net Profit,0.52,1.01,2.33
EPS in Rs,0.42,0.81,2.01
