,2021-09-01,2021-12-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,4.7,7.13,3.53,8.44,9.77,13.44,6.89,8.65
Expenses,4.4,6.7,3.3,8.03,9.28,12.2,5.51,7.6
Operating Profit,0.3,0.43,0.23,0.41,0.49,1.24,1.38,1.05
OPM %,6.38,6.03,6.52,4.86,5.02,9.23,20.03,12.14
Other Income,0.02,0.04,0.04,0.03,0.04,0.14,0.02,0.02
Interest,0.24,0.21,0.14,0.26,0.3,0.42,0.16,0.21
Depreciation,0.03,0.06,0.05,0.05,0.05,0.06,0.06,0.06
Profit before tax,0.05,0.2,0.08,0.13,0.18,0.9,1.18,0.8
Tax %,0.0,5.0,12.5,46.15,27.78,21.11,25.42,26.25
Net Profit,0.05,0.19,0.08,0.08,0.14,0.71,0.89,0.59
EPS in Rs,0.04,0.15,0.06,0.07,0.12,0.62,0.78,0.49
