,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,13.82,13.5,8.69,10.11,8.74,11.3,9.56,12.25,8.09
Expenses,9.77,10.22,6.1,7.56,6.35,8.06,7.19,9.84,6.21
Operating Profit,4.05,3.28,2.59,2.55,2.39,3.24,2.37,2.41,1.88
OPM %,29.31,24.3,29.8,25.22,27.35,28.67,24.79,19.67,23.24
Other Income,0.36,0.26,0.12,0.86,0.08,0.06,0.1,0.09,0.11
Interest,0.44,0.41,0.39,0.37,0.31,0.23,0.32,0.29,0.22
Depreciation,0.56,0.63,0.61,0.52,0.51,0.56,0.53,0.36,0.4
Profit before tax,3.41,2.5,1.71,2.52,1.65,2.51,1.62,1.85,1.37
Tax %,22.87,30.8,25.15,29.37,26.67,28.29,27.78,31.35,27.01
Net Profit,2.63,1.73,1.29,1.78,1.21,1.8,1.16,1.28,1.0
EPS in Rs,5.76,3.79,2.82,3.9,2.65,3.94,2.54,2.8,2.19
