,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.35,10.41,15.68,15.37,15.2,19.08,22.59,28.03,27.31,18.81,20.04,21.81,20.34
Expenses,7.13,8.48,14.0,13.59,13.73,14.97,16.7,21.08,19.96,13.66,14.41,17.05,16.05
Operating Profit,0.22,1.93,1.68,1.78,1.47,4.11,5.89,6.95,7.35,5.15,5.63,4.76,4.29
OPM %,2.99,18.54,10.71,11.58,9.67,21.54,26.07,24.79,26.91,27.38,28.09,21.82,21.09
Other Income,0.02,-0.87,0.03,0.04,0.05,0.19,-0.04,1.37,0.62,0.98,0.14,0.2,0.20
Interest,0.0,0.02,0.05,0.1,0.11,0.28,0.75,1.01,0.87,0.76,0.54,0.61,0.51
Depreciation,0.0,0.3,0.53,1.03,0.34,0.5,0.68,1.02,1.2,1.13,1.06,0.89,0.76
Profit before tax,0.24,0.74,1.13,0.69,1.07,3.52,4.42,6.29,5.9,4.24,4.17,3.46,3.22
Tax %,29.17,29.73,36.28,37.68,39.25,33.24,30.54,28.78,26.27,27.59,27.82,29.77,
Net Profit,0.16,0.52,0.71,0.42,0.65,2.36,3.07,4.47,4.35,3.06,3.01,2.44,2.28
EPS in Rs,160.0,520.0,710.0,420.0,650.0,19.5,6.72,9.79,9.52,6.7,6.59,5.34,4.99
