,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11.28,11.28,60.16,63.77,70.77,70.77,70.77,70.77
Reserves,3.15,3.72,23.04,27.68,32.41,33.68,36.49,36.88
Borrowings,9.57,3.71,7.43,5.83,0.68,0.68,0.68,0.68
Other Liabilities,2.29,6.92,4.83,4.58,3.71,0.78,0.8200000000000001,1.35
Total Liabilities,26.29,25.63,95.46,101.86,107.57,105.91,108.76,109.68
Fixed Assets,0.35,0.35,0.96,1.31,0.38,0.36,0.01,0.01
CWIP,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.0
Investments,2.09,1.28,57.33,66.42,69.79,48.59,52.46,60.94
Other Assets,23.58,23.73,37.17,34.13,37.4,56.96,56.29,48.73
Total Assets,26.29,25.63,95.46,101.86,107.57,105.91,108.76,109.68
