,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,10.37,71.41,26.14,,428.04,48.67,-5840.00
Inventory Days,85.35,36.79,0.00,,0.00,0.00,0.00
Days Payable,91.79,103.27,,,,,
Cash Conversion Cycle,3.93,4.93,26.14,,428.04,48.67,-5840.00
Working Capital Days,8.4,269.3,386.09,,3039.97,16123.88,1975015.00
ROCE %,,7.45,1.39,4.51,3.95,1.55,1.06
