,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.39,22.54,23.88,0.00,3.59,1.2,-0.01,0.0
Expenses,7.47,22.48,24.52,1.93,4.25,1.97,1.54,2.24
Operating Profit,-0.08,0.06,-0.64,-1.93,-0.66,-0.77,-1.55,-2.24
OPM %,-1.08,0.27,-2.68,,-18.38,-64.17,,
Other Income,1.48,1.53,1.46,6.64,4.52,2.44,4.91,6.32
Interest,0.6,0.71,0.49,0.48,0.29,0.01,0.00,0.0
Depreciation,0.02,0.0,0.01,0.47,0.22,0.01,0.01,0.0
Profit before tax,0.78,0.88,0.32,3.76,3.35,1.65,3.35,4.08
Tax %,34.62,34.09,81.25,14.63,42.39,22.42,15.82,
Net Profit,0.51,0.57,0.06,3.21,1.93,1.27,2.82,2.95
EPS in Rs,0.39,0.44,0.01,0.49,0.27,0.18,0.39,0.41000000000000003
