,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-0.27,0.65,-0.16,0.75,-0.28
Cash from Investing Activity,0.0,-0.34,0.16,-0.47,-0.14
Cash from Financing Activity,-0.05,0.0,0.0,0.0,0.0
Net Cash Flow,-0.31,0.31,0.01,0.28,-0.42
