,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.02,5.02,5.02,5.02,5.02,5.02
Reserves,0.06,0.17,0.24,0.32,0.4,0.45
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,19.82,21.72,17.13,17.0,23.41,8.27
Total Liabilities,24.9,26.91,22.39,22.34,28.83,13.74
Fixed Assets,0.01,0.01,0.46,0.6000000000000001,0.54,0.5
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,1.45,2.05,1.76,2.16,2.9,3.59
Other Assets,23.44,24.85,20.17,19.58,25.39,9.65
Total Assets,24.9,26.91,22.39,22.34,28.83,13.74
