,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,21.87,19.04,15.77,14.88,10.64,12.39
Expenses,22.03,19.19,15.99,14.89,10.81,12.63
Operating Profit,-0.16,-0.15,-0.22,-0.01,-0.17,-0.24
OPM %,-0.73,-0.79,-1.4,-0.07,-1.6,-1.94
Other Income,0.27,0.25,0.37,0.19,0.37,0.37
Interest,0.05,0.0,0.01,0.01,0.01,0.01
Depreciation,0.0,0.0,0.03,0.07,0.09,0.08
Profit before tax,0.06,0.1,0.11,0.1,0.1,0.04
Tax %,116.67,0.0,27.27,30.0,40.0,
Net Profit,0.01,0.11,0.07,0.07,0.08,0.05
EPS in Rs,0.02,0.22,0.14,0.14,0.16,0.10
