,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,119,121,121,122,122,122,122,122
Reserves,1636,1611,1757,2718,2391,2201,3102,3515
Borrowings,6392,7625,11842,15204,16799,21073,30776,34774
Other Liabilities,331,165,306,668,895,1027,1487,1918
Total Liabilities,8479,9522,14026,18711,20207,24423,35486,40329
Fixed Assets,137,194,282,799,718,666,684,760
CWIP,3,4,2,21,5,6,18,31
Investments,1447,1244,1548,2429,2552,4215,8604,11037
Other Assets,6892,8080,12194,15462,16932,19536,26181,28502
Total Assets,8479,9522,14026,18711,20207,24423,35486,40329
