,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,30.04,29.46,25.39,22.01,21.32,27.91,42.26,54.11,55.75,30.03,47.5,76.86,88.03
Expenses,24.38,23.74,22.01,19.72,19.3,24.76,34.33,44.86,47.23,28.1,41.71,69.2,78.78
Operating Profit,5.66,5.72,3.38,2.29,2.02,3.15,7.93,9.25,8.52,1.93,5.79,7.66,9.25
OPM %,18.84,19.42,13.31,10.4,9.47,11.29,18.76,17.09,15.28,6.43,12.19,9.97,10.51
Other Income,0.07,0.03,0.24,0.26,0.24,0.15,0.1,0.68,0.38,0.29,0.2,0.37,0.48
Interest,0.98,1.31,0.68,0.61,0.41,0.81,1.61,2.36,2.8,2.05,2.34,2.63,2.36
Depreciation,1.72,1.97,2.01,1.26,1.33,1.63,2.78,2.88,3.13,3.08,3.23,3.59,3.99
Profit before tax,3.03,2.47,0.93,0.68,0.52,0.86,3.64,4.69,2.97,-2.91,0.42,1.81,3.38
Tax %,37.62,23.08,34.41,32.35,51.92,6.98,27.47,23.45,41.75,15.81,2.38,-7.18,
Net Profit,1.89,1.9,0.61,0.47,0.25,0.8,2.63,3.6,1.73,-2.46,0.42,1.94,3.31
EPS in Rs,0.24,0.24,0.08,0.06,0.03,0.1,0.33,0.45,0.22,-0.31,0.05,0.25,0.41
