,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7,7,7,7,7,7,7,7,7
Reserves,76,80,82,83,87,93,102,113,115
Borrowings,52,58,124,128,138,147,178,190,186
Other Liabilities,75,89,97,137,150,191,198,239,233
Total Liabilities,209,234,309,354,381,438,484,548,540
Fixed Assets,73,100,157,148,144,136,130,122,118
CWIP,45,35,4,47,45,51,40,49,50
Investments,0,0,0,0,0,0,0,0,0
Other Assets,91,98,149,158,192,252,313,377,373
Total Assets,209,234,309,354,381,438,484,548,540
