,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,225.0,269.0,253.0,265.0,247.0,446.0,648.0,652.0,730
Expenses,212.0,256.0,238.0,242.0,221.0,413.0,613.0,619.0,692
Operating Profit,12.0,14.0,15.0,22.0,26.0,33.0,35.0,33.0,38
OPM %,5.0,5.0,6.0,8.0,10.0,7.0,5.0,5.0,5
Other Income,4.0,2.0,3.0,4.0,1.0,3.0,9.0,10.0,12
Interest,4.0,4.0,6.0,14.0,17.0,19.0,23.0,22.0,29
Depreciation,10.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,9
Profit before tax,3.0,3.0,4.0,2.0,1.0,8.0,11.0,12.0,12
Tax %,-14.0,78.0,51.0,120.0,-250.0,22.0,24.0,20.0,
Net Profit,3.0,1.0,2.0,-0.0,3.0,6.0,9.0,9.0,10
EPS in Rs,0.44,0.1,0.3,-0.06,0.43,0.89,1.32,1.43,1.54
