,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,24.82,28.42,11.32,11.54,7.41,10.8
Expenses,19.41,19.41,12.06,10.8,7.91,9.97
Operating Profit,5.41,9.01,-0.74,0.74,-0.5,0.83
OPM %,21.8,31.7,-6.54,6.41,-6.75,7.69
Other Income,0.04,0.04,0.09,0.06,3.06,2.61
Interest,1.43,1.43,1.23,-0.17,3.17,1.46
Depreciation,1.45,1.45,1.44,1.44,1.49,1.47
Profit before tax,2.57,6.17,-3.32,-0.47,-2.1,0.51
Tax %,-0.0,-0.0,-0.0,-0.0,-0.0,17.65
Net Profit,2.57,6.17,-3.33,-0.47,-2.1,0.42
EPS in Rs,1.43,2.64,-1.42,-0.2,-0.9,0.18
