,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,27.67,27.23,40.69,39.73,18.94,18.21
Expenses,18.08,18.41,30.72,31.16,18.61,17.88
Operating Profit,9.59,8.82,9.97,8.57,0.33,0.33
OPM %,34.66,32.39,24.5,21.57,1.74,1.81
Other Income,0.06,0.02,-0.0,0.13,3.12,5.67
Interest,5.75,4.9,3.25,2.96,3.09,4.63
Depreciation,2.54,2.56,2.61,2.9,2.93,2.96
Profit before tax,1.36,1.38,4.11,2.84,-2.57,-1.59
Tax %,-0.0,-0.0,-0.0,16.55,-0.0,
Net Profit,1.36,1.38,4.11,2.37,-2.57,-1.68
EPS in Rs,0.76,0.77,2.28,1.01,-1.1,-0.72
