,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,17.16,17.91,18.0,23.37,23.37,23.37
Reserves,-1.8,6.28,11.25,73.2,70.55,70.97
Borrowings,32.99,30.92,27.87,28.21,29.19,25.03
Other Liabilities,5.71,4.93,7.96,4.34,4.92,3.26
Total Liabilities,54.06,60.04,65.08,129.12,128.03,122.63
Fixed Assets,46.36,44.12,49.49,48.46,45.47,44.52
CWIP,0.08,0.0,0.0,0.0,0.05,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,7.62,15.92,15.59,80.66,82.51,78.11
Total Assets,54.06,60.04,65.08,129.12,128.03,122.63
