,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4.68,5.48,12.02,22.22,36.03
Expenses,2.63,5.3,10.51,16.87,29.64
Operating Profit,2.05,0.18,1.51,5.35,6.39
OPM %,43.8,3.28,12.56,24.08,17.74
Other Income,0.79,1.28,2.12,0.75,1.11
Interest,0.17,0.46,0.87,0.52,0.56
Depreciation,0.02,0.04,0.04,0.11,0.11
Profit before tax,2.65,0.96,2.72,5.47,6.83
Tax %,24.15,28.12,23.9,25.23,
Net Profit,2.01,0.69,2.07,4.08,5.10
EPS in Rs,0.49,0.17,0.46,0.73,0.91
