,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,4.28,3.01,3.98,4.14,5.5,8.61,9.41,12.51
Expenses,4.01,2.37,2.72,3.47,3.91,6.78,8.54,10.41
Operating Profit,0.27,0.64,1.26,0.67,1.59,1.83,0.87,2.1
OPM %,6.31,21.26,31.66,16.18,28.91,21.25,9.25,16.79
Other Income,0.66,0.46,0.19,0.18,0.27,0.1,0.26,0.48
Interest,0.22,0.28,0.12,0.12,0.12,0.16,0.13,0.15
Depreciation,0.01,0.02,0.03,0.03,0.03,0.02,0.03,0.03
Profit before tax,0.7,0.8,1.3,0.7,1.71,1.75,0.97,2.4
Tax %,24.29,26.25,24.62,25.71,25.73,25.71,24.74,25.42
Net Profit,0.53,0.6,0.99,0.52,1.27,1.3,0.73,1.8
EPS in Rs,0.13,0.13,0.15,0.1,0.2,0.28,0.15,0.28
