,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,3,3,4,7,7,7,7,7,8
Reserves,8,11,7,45,158,169,172,280,353,362
Borrowings,0,31,32,22,20,10,29,38,58,63
Other Liabilities,11,36,52,81,103,142,155,163,160,245
Total Liabilities,23,81,94,152,288,328,363,488,578,677
Fixed Assets,7,27,27,40,41,52,210,221,218,217
CWIP,0,0,0,0,26,102,0,3,57,79
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,16,53,66,111,222,175,153,264,303,381
Total Assets,23,81,94,152,288,328,363,488,578,677
