,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,7.64,8.94,5.54,1.7,7.64,3.25,5.76,2.65,2.2,0.92
Expenses,6.73,8.96,4.15,1.37,6.73,2.84,4.97,2.3,1.64,0.67
Operating Profit,0.91,-0.02,1.39,0.33,0.91,0.41,0.79,0.35,0.56,0.25
OPM %,11.91,-0.22,25.09,19.41,11.91,12.62,13.72,13.21,25.45,27.17
Other Income,0.09,1.06,-0.57,0.08,0.09,0.03,0.02,-0.0,-7.53,-0.0
Interest,0.41,0.36,0.72,0.35,0.41,0.16,0.19,0.15,0.18,0.16
Depreciation,0.55,0.46,0.17,-0.0,0.55,-0.0,0.71,-0.0,0.56,-0.0
Profit before tax,0.04,0.22,-0.07,0.06,0.04,0.28,-0.09,0.2,-7.71,0.09
Tax %,275.0,18.18,-385.71,16.67,275.0,14.29,-44.44,-0.0,-1.43,-0.0
Net Profit,-0.07,0.18,-0.34,0.05,-0.07,0.23,-0.13,0.2,-7.81,0.09
EPS in Rs,-0.05,0.14,-0.26,0.04,-0.05,0.17,-0.1,0.15,-5.91,0.07
