,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.50,-0.00,2.52,14.54,5.09,19.08,21.35,15.46,14.48,6.37,9.01,4.85,3.12
Expenses,0.45,-0.00,2.19,12.85,4.86,16.27,18.88,13.28,13.12,4.88,7.81,3.95,2.31
Operating Profit,0.05,-0.00,0.33,1.69,0.23,2.81,2.47,2.18,1.36,1.49,1.2,0.9,0.81
OPM %,10.00,,13.10,11.62,4.52,14.73,11.57,14.1,9.39,23.39,13.32,18.56,25.96
Other Income,-0.00,-0.00,0.06,0.05,0.02,0.07,0.06,0.11,0.49,0.09,0.04,-7.53,-7.53
Interest,-0.00,-0.00,0.24,1.24,0.34,1.02,0.58,0.73,1.07,0.61,0.35,0.32,0.34
Depreciation,0.01,0.01,0.40,1.67,0.46,1.55,1.31,1.09,0.62,0.81,0.71,0.56,0.56
Profit before tax,0.04,-0.01,-0.25,-1.17,-0.55,0.31,0.64,0.47,0.16,0.16,0.18,-7.51,-7.62
Tax %,-100.00,-0.00,32.00,27.35,-14.55,-406.45,46.88,40.43,193.75,93.75,44.44,-1.46,
Net Profit,0.08,-0.00,-0.18,-0.85,-0.63,1.57,0.34,0.28,-0.16,-0.0,0.11,-7.61,-7.72
EPS in Rs,,,,,-0.7,1.19,0.26,0.21,-0.12,-0.0,0.08,-5.76,-5.84
