,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.77,0.26,2.41,4.63,15.53,175.66,103.64,22.46,1.77,10.66,12.98,44.93
Expenses,26.75,0.12,2.43,4.65,15.59,176.24,104.46,23.53,0.76,10.35,14.6,44.80
Operating Profit,0.02,0.14,-0.02,-0.02,-0.06,-0.58,-0.82,-1.07,1.01,0.31,-1.62,0.13
OPM %,0.07,53.85,-0.83,-0.43,-0.39,-0.33,-0.79,-4.76,57.06,2.91,-12.48,0.29
Other Income,0.00,0.0,0.16,0.16,-0.18,-0.83,0.25,1.67,0.01,0.49,0.26,0.84
Interest,0.01,0.12,0.03,0.03,0.08,0.33,0.39,0.25,0.02,0.18,0.48,0.52
Depreciation,0.01,0.0,0.07,0.08,0.07,0.07,0.07,0.01,0.03,0.14,0.1,0.09
Profit before tax,0.00,0.02,0.04,0.03,-0.39,-1.81,-1.03,0.34,0.97,0.48,-1.94,0.36
Tax %,,0.0,25.0,66.67,12.82,12.15,26.21,17.65,57.73,14.58,-2.06,
Net Profit,0.00,0.01,0.02,0.02,-0.34,-1.59,-0.76,0.28,0.41,0.41,-1.97,0.27
EPS in Rs,0.00,0.01,0.02,0.02,-0.31,-1.46,-0.7,0.26,0.38,0.38,-1.81,0.26
