,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,2.53,1.08,2.79,6.47,2.58,14.45,21.43
Expenses,2.85,1.16,2.64,5.81,5.0,14.17,19.82
Operating Profit,-0.32,-0.08,0.15,0.66,-2.42,0.28,1.61
OPM %,-12.65,-7.41,5.38,10.2,-93.8,1.94,7.51
Other Income,0.01,0.3,-0.21,0.13,0.11,0.21,0.39
Interest,0.05,0.03,0.06,0.23,0.15,0.1,0.04
Depreciation,0.04,0.02,0.02,0.04,0.02,0.01,0.02
Profit before tax,-0.4,0.17,-0.14,0.52,-2.48,0.38,1.94
Tax %,17.5,17.65,14.29,25.0,4.84,28.95,0.0
Net Profit,-0.32,0.14,-0.13,0.4,-2.35,0.27,1.95
EPS in Rs,-0.29,0.13,-0.12,0.37,-2.16,0.25,1.8
