,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.3,2.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,10.86,10.86
Reserves,0.11,1.06,1.58,1.59,1.25,-0.34,-1.1,-0.8200000000000001,-0.41,0.12,-0.84,
Borrowings,1.43,0.2,0.04,0.07,2.32,7.18,3.75,7.31,8.81,1.72,8.51,
Other Liabilities,0.03,0.38,0.55,0.81,0.3,5.01,0.04,0.21,0.11,0.86,0.17,
Total Liabilities,1.87,4.12,5.65,5.95,7.35,15.33,6.17,10.18,11.99,6.18,18.7,
Fixed Assets,0.01,0.01,0.09,0.07,0.05,0.04,0.03,0.02,0.43,0.31,0.13,
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Investments,0.0,0.0,2.54,0.84,0.0,0.0,0.0,4.62,1.71,0.85,0.0,
Other Assets,1.86,4.11,3.02,5.04,7.3,15.29,6.14,5.54,9.85,5.02,18.57,
Total Assets,1.87,4.12,5.65,5.95,7.35,15.33,6.17,10.18,11.99,6.18,18.7,
