,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,-1.82,0.6000000000000001,-1.86,-0.63,0.23,1.42,4.61,-2.43,4.0,-16.66
Cash from Investing Activity,,0.15,-2.64,1.72,0.8300000000000001,0.09,0.03,-4.58,2.6,1.55,1.05
Cash from Financing Activity,,2.97,1.25,-0.03,-0.08,-0.34,-0.39,-0.25,1.43,-7.26,14.81
Net Cash Flow,,1.3,-0.79,-0.17,0.12,-0.02,1.06,-0.22,1.6,-1.71,-0.8
