,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,8.7,10.82,11.89,10.33,14.24,13.87,12.34,14.32,13.0,11.9,12.42,10.55,8.49
Expenses,9.76,11.49,12.35,10.46,16.03,14.93,13.87,14.26,12.99,12.38,14.58,11.14,9.34
Operating Profit,-1.06,-0.67,-0.46,-0.13,-1.79,-1.06,-1.53,0.06,0.01,-0.48,-2.16,-0.59,-0.85
OPM %,-12.18,-6.19,-3.87,-1.26,-12.57,-7.64,-12.4,0.42,0.08,-4.03,-17.39,-5.59,-10.01
Other Income,0.33,0.19,0.91,0.01,0.0,0.01,0.15,0.03,0.09,0.05,0.84,-0.02,6.87
Interest,4.35,4.1,4.15,4.18,4.28,4.46,14.79,5.48,6.0,6.04,3.77,6.85,6.43
Depreciation,1.09,1.1,1.1,1.07,1.09,1.08,1.13,1.08,1.08,1.1,17.11,0.54,0.54
Profit before tax,-6.17,-5.68,-4.8,-5.37,-7.16,-6.59,-17.3,-6.47,-6.98,-7.57,-22.2,-8.0,-0.95
Tax %,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32,0.0,0.0
Net Profit,-6.1,-5.68,-4.8,-5.37,-7.16,-6.59,-17.3,-6.47,-6.98,-7.57,-22.27,-8.0,-0.95
EPS in Rs,-4.45,-4.15,-3.5,-3.92,-5.23,-4.81,-12.63,-4.72,-5.09,-5.52,-16.25,-5.84,-0.69
