,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8,8,8,10,10,20,10
Reserves,14,16,16,15,16,8,8
Borrowings,20,21,20,18,20,20,17
Other Liabilities,5,5,4,5,17,12,16
Total Liabilities,46,50,48,48,64,60,61
Fixed Assets,1,1,2,1,1,1,1
CWIP,0,1,0,0,0,0,0
Investments,0,0,0,0,0,0,0
Other Assets,45,48,46,47,62,59,60
Total Assets,46,50,48,48,64,60,61
