,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4,10,21,30,25,140,180.0,193.0,205.0,181.0,272.0,331.0,316
Expenses,5,13,23,29,18,108,128.0,133.0,149.0,157.0,215.0,219.0,237
Operating Profit,-1,-4,-3,0,7,32,52.0,61.0,56.0,24.0,57.0,112.0,79
OPM %,-13,-37,-13,1,27,23,29.0,31.0,27.0,13.0,21.0,34.0,25
Other Income,-0,0,3,3,0,2,4.0,-15.0,-0.0,1.0,6.0,2.0,8
Interest,1,7,8,7,3,5,4.0,2.0,4.0,3.0,1.0,1.0,0
Depreciation,0,3,3,4,4,13,12.0,15.0,25.0,20.0,22.0,23.0,22
Profit before tax,-2,-14,-10,-7,0,16,40.0,28.0,27.0,2.0,39.0,91.0,65
Tax %,-0,-0,-0,-0,-0,6,36.0,41.0,5.0,479.0,26.0,27.0,
Net Profit,-2,-14,-10,-7,0,16,25.0,17.0,26.0,-8.0,29.0,66.0,47
EPS in Rs,,,,,,,18.42,12.07,18.36,-5.72,20.4,46.69,33.01
